listing_id,title,price,bhk,area_sqft,age_years,parking,location,price_per_sqft,price_text,area_text,page_scraped
17372871,4 BHK Flat in Sector 9 Dwarka,29500000.0,4.0,1900.0,1.0,1.0,Sector 9,15526.315789473685,₹2.95 Cr,1900 sq.ft,348
17926839,4 BHK Flat in Sector 6 Dwarka,38000000.0,4.0,2600.0,1.0,1.0,Sector 6,14615.384615384615,₹3.8 Cr,2600 sq.ft,348
17919206,3 BHK Flat in Sector 4 Dwarka,28000000.0,3.0,1950.0,1.0,1.0,Sector 4,14358.97435897436,₹2.8 Cr,1950 sq.ft,348
17508525,2 BHK Flat in Sector 11 Dwarka,15500000.0,2.0,1250.0,1.0,1.0,Sector 11,12400.0,₹1.55 Cr,1250 sq.ft,348
15888999,1 BHK Flat in Bharat Vihar,15000000.0,1.0,900.0,1.0,1.0,,16666.666666666668,₹1.5 Cr,900 sq.ft,349
17843207,3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,1600.0,1.0,1.0,Sector 2,17187.5,₹2.75 Cr,1600 sq.ft,349
18269101,3 BHK Independent Builder Floor in Defence Colony,74500000.0,3.0,1950.0,1.0,1.0,Delhi,38205.1282051282,₹7.45 Cr,1950 sq.ft,349
18161489,4 BHK Independent Builder Floor in Punjabi Bagh,55000000.0,4.0,2700.0,1.0,1.0,,20370.37037037037,₹5.5 Cr,2700 sq.ft,349
18470224,4.5 BHK Flat in Sector 19 Dwarka,36500000.0,5.0,2400.0,1.0,1.0,Sector 19,15208.333333333334,₹3.65 Cr,2400 sq.ft,349
18470421,3 BHK Flat in Sector 3 Dwarka,27500000.0,3.0,1900.0,1.0,,Sector 3,14473.684210526315,₹2.75 Cr,1900 sq.ft,349
17448862,3 BHK Flat in Sector 9 Dwarka,24800000.0,3.0,1700.0,1.0,1.0,Sector 9,14588.235294117647,₹2.48 Cr,1700 sq.ft,349
